Name,License Plate,State,Make,Model,Model Year,VIN,Fuel Type,Tank Capacity,Department,Location,Policy,Cards
#000,ADMIN,FL,,,,,,,Royal Transportation,Miami,,YRX051
#1000,40AAXJ,,,,,1FDZX2CG0FKB08957,,,,Miami,Specialized Pediatric Care LLC,YRX069
#1001,QIYQ14,,,,,1FMZK1CM3KKA08196,,,,Miami,Specialized Pediatric Care LLC,YRX001
#1002,PKHQ50,,,,,1FBAX2C8XLKA03319,,,,Miami,Specialized Pediatric Care LLC,
#102,JIYP20,FL,FORD,TRANSIT,2015,4T1DAACK7SU028712,Unleaded Regular,,Royal Transportation,Miami,Royal Bus/Van Policy,
#104,IMIC93,FL,Ford,,2014,1FTNS1EW1EDA08580,Unleaded Regular,,Royal Transportation,Miami,,
#105,IMIC90,FL,Ford,E-150,2014,1FTNS1EW5EDA08579,Unleaded Regular,,Royal Transportation,Miami,,
#108,IMIC96,FL,FORD,TRANSIT,,1FBZX2XM6FKB05229,Unleaded Regular,,Royal Transportation,Miami,,
#109,IZSD06,FL,Ford,,2014,1FTNS1EW8EDA04624,Unleaded Regular,,Royal Transportation,Miami,,
#110,IZSD05,FL,FORD,E350,2014,1FBNE3BL8EDA32263,Unleaded Regular,,Royal Transportation,Miami,,
#111,JIXX85,FL,Ford,Pass VAN,2014,1FBSS3BL8EDA32100,Unleaded Regular,,Royal Transportation,Miami,,
#112,JJTA19,FL,Ford,Transit,2017,1FTBW3XMXHKA02114,Unleaded Regular,,Royal Transportation,Miami,,YRX063
#114,IZSD44,FL,Ford,Transit Wagon,2015,1FBZX2CM7FKB19534,Unleaded Regular,,Royal Transportation,Miami,,YRX120
#116,KTWV03,FL,FORD,TRANSIT,2018,1FTYR2CM8JKA86697,Unleaded Regular,,Royal Transportation,Miami,,
#117,KTWV04,FL,Ram,Promaster,,3C7WRVPG1JE137833,Unleaded Regular,,Royal Transportation,Miami,,
#119,KTWV02,FL,FORD,TRANSIT,2015,1FBZX2CM6FKB16558,Unleaded Regular,,Royal Transportation,Miami,,
#120,IZSD87,FL,Ford,,2016,1FBZX2CM6GKA04974,Unleaded Regular,,Royal Transportation,Miami,,
#121,LXGN45,FL,RAM,PRO,2019,3C6TRVPG4KE506242,Unleaded Super,,Royal Transportation,Miami,,
#122,56FCYK,FL,FORD,T350,,1FBZX2CM9JKB35646,Unleaded Regular,,Royal Transportation,Miami,,YRX129
#123,NPKW85,FL,FORD,TRANS,2019,1FBAX2CM2KKA94484,Unleaded Regular,,Royal Transportation,Miami,,YRX125
#124,NPKW84,FL,FORD,TRANSIT,,1FBAX2CG3KKA94391,Unleaded Regular,,Royal Transportation,Miami,,
#125,NSCC21,FL,FORD,PASS,,1FBAX2CM3KKA94459,Unleaded Regular,,Royal Transportation,Miami,,
#126,98DXLV,FL,Ford,,2019,1FBAX2CMXKKA94474,Unleaded Regular,,Royal Transportation,Miami,,YRX092
#127,PIPP76,FL,FORD,PASS,2014,1FTBR3X88LKA31663,Unleaded Regular,,Royal Transportation,Miami,,
#128,NZWP24,FL,Ford,,2011,1FDEE3FL7BDA29898,Unleaded Regular,,Royal Transportation,Miami,,YRX059
#129,PGDD53,FL,FORD,T350,2015,1FBAX2XM9FKB08381,Unleaded Regular,,Royal Transportation,Miami,,YRX099
#130,PGDD54,FL,FORD,,2016,1FBAX2CM6GKA98089,Unleaded Regular,,Royal Transportation,Miami,,
#131,QWNB14,FL,Ford,Pass Bus,2012,1FDEE3FLXBDB04755,Unleaded Regular,,Royal Transportation,Miami,,
#132,QWNB15,FL,Ford ,E-450,2015,1FDFE4FS8FDA35104,Unleaded Plus,,Royal Transportation,Miami,,
#133,QWNR78,FL,FORD,TRANSIT,,1FTBR3X86LKA31662,Unleaded Regular,,Royal Transportation,Miami,,
#134,QWNR77,FL,FORD,TRANSIT,2020,1FTBR3X88LKA31663,Unleaded Regular,,Royal Transportation,Miami,,
#136,PGDD59,FL,CHEV,VAN,2019,1GAZGPFG7K1170216,Unleaded Regular,,Royal Transportation,Miami,,
#137,95AFYR,FL,FORD,VAN,2020,1FDAX2C89LKB26651,Unleaded Regular,,Royal Transportation,Miami,,YRX034
#139,11AKTW,FL,RAM,Promaster Wind,2020,3C6TRVPG3LE122048,Unleaded Regular,,Royal Transportation,Miami,,
#140,PGDD91,FL,FORD,,2018,1FBAX2CM5JKA85874,Unleaded Regular,,Royal Transportation,Miami,,
#141,PGDD93,FL,FORD,VAN,2023,1FDZX2CM9HKB21747,Unleaded Regular,,Royal Transportation,Miami,,YRX031
#144,23AKTJ,FL,FORD,Pass,,1FBAX2Y8XLKA09520,Unleaded Regular,,Royal Transportation,Miami,,
#145,22AKTJ,FL,FORD,,2015,1FBVU4XG3FKA95501,Unleaded Regular,,Royal Transportation,Miami,,
#146,94AFYR,FL,Ford,Transit Wagon,2016,1FBZX2CM2GKA40306,Unleaded Regular,,Royal Transportation,Miami,,YRX098
#147,50DNST,FL,FORD,TRANSIT,2015,1FBZX2ZM0FKA64626,Unleaded Regular,,Royal Transportation,Miami,,
#148,96DXLL,FL,FORD,TRANSIT,2016,1FBZX2ZM3GKA39396,Unleaded Regular,,Royal Transportation,Miami,,YRX096
#149,95DXLL,FL,Ford,Transit,2016,1FBZX2ZM2GKA11315,Unleaded Regular,,Royal Transportation,Miami,,
#150,RNJA90,FL,FORD,TRANSIT,,1FBZX2ZMXGKB44596,Unleaded Regular,,Royal Transportation,Miami,,
#151,JWAA47,FL,,,,,Unleaded Regular,,Royal Transportation,Miami,,
#152,JWAA46,FL,Ford,,2018,1FBZX2ZMXJKA29150,Unleaded Regular,,Royal Transportation,Miami,,
#154,43BEBK,FL,Ford,,2021,1FBVU4X8XMKA05847,Unleaded Regular,,Royal Transportation,Miami,,
#155,44BEBK,FL,Ford,Transit wagon,,1FBZX2CM8KKA07528,Unleaded Regular,,Royal Transportation,Miami,,YRX025
#156,51BEBK,FL,Mercedes Benz,PASS VAN,2017,WDZPE7CD0HP563611,Diesel,,Royal Transportation,Miami,,YRX080
#158,95BEBK,FL,Ford,,2019,1FBZX2ZM2KKB64253,Unleaded Regular,,Royal Transportation,Miami,,YRX119
#159,96BEBK,FL,Ford,,2019,1FBVU4XM6KKB70272,Unleaded Regular,,Royal Transportation,Miami,,YRX078
#161,39DHCW,FL,Ford,,2017,1FBVU4XG5HKA04151,Unleaded Regular,,Royal Transportation,Miami,,YRX075
#164,45DHCW,FL,FORD,TRANSIT,2016,1FMZK1CMXGKA12625,Unleaded Regular,,Royal Transportation,Miami,,
#165,BZ78SN,FL,Ford,,2017,1FBZX2YM1HKA50643,,,Royal Transportation,Miami,,YRX087
#166,72DHCW,FL,FORD,TRANSIT,2015,1FBZX2ZM9FKA33553,Unleaded Regular,,Royal Transportation,Miami,,
#167,BY76UD,FL,Ford,Transit,2020,1FDAX2C8XLKB09390,Unleaded Regular,,Royal Transportation,Miami,,
#169,89DHCW,FL,DODGE,RAM,2020,3C6TRVPG5LE122049,Unleaded Regular,,Royal Transportation,Miami,,
#170,88DHCW,FL,Ford,Transit Wagon,2016,1FBAX2CGXGKA26354,Unleaded Regular,,Royal Transportation,Miami,,YRX024
#171,95DXLV,FL,Ford,Transit,2020,1FBAX2C89LKB24407,Unleaded Regular,,Royal Transportation,Miami,,YRX070
#172,07DHCW,FL,,,,,,,Royal Transportation,Miami,,
#173,D737561,FL,FORD,TRANSIT,2023,1FDVU4XG6PKB25969,,,Royal Transportation,Miami,,YRX130
#174,RXCD20,FL,FORD,TRANSIT,2023,1FDVU4XG8PKB23995,,,Royal Transportation,Miami,,YRX060
#175,RAGL61,FL,FORD,TRANSIT,2024,1FBAX2CG7RKB10828,,,Royal Transportation,Miami,,YRX018
#201,IZSD69,FL,Toyota,Rav4,2018,2T3WFREV1JW414290,Unleaded Regular,,Royal Transportation,Miami,,
#202,IZSD68,FL,Toyoya,RAV 4,2018,2T3WFREV3JW410807,Unleaded Regular,,Royal Transportation,Miami,,YRX089
#204,IZSD85,FL,DODGE,CARAVAN,,2C4RDGBG6GR140780,Unleaded Regular,,Royal Transportation,Miami,,
#205,07DVAF,FL,Hyundai,Sonata,2017,5NPE24AF8HH514266,Unleaded Regular,,Royal Transportation,Miami,,YRX064
#206,99DXLV,FL,,,,,,,,Miami,,YRX150
#207,PIQU40,FL,Ford,T250,2020,1FTBR1C83LKA16675,Unleaded Regular,,Royal Transportation,Miami,,
#208,PIQU41,FL,FORD,,2020,1FTBR1C89LKA16681,Unleaded Regular,,Royal Transportation,Miami,,
#209,PIQU42,FL,FORD,T250,2020,1FTBR1C8XLKA16690,Unleaded Regular,,Royal Transportation,Miami,,
#210,28EDFY,FL,Hyundai,Elantra,2022,5NPLM4AG1NH066880,Unleaded Regular,,Royal Transportation,Miami,,YRX090
#212,62AKTJ,FL,CHEV,MALIBU,,1G1ZD5STXMF087109,Unleaded Regular,,Royal Transportation,Miami,,"YRX073, YRX004"
#213,63AKTJ,FL,Chevy,Malibu,2021,1G1ZD5ST2MF089081,Unleaded Regular,,Royal Transportation,Miami,,
#214,61BCET,FL,HYUNDAI,Kona,2022,KM8K62AB8NU847959,Unleaded Regular,,Royal Transportation,Miami,,YRX100
#215,54APHH,FL,Hyundai,Venue,2021,KMHRB8A30MU072125,Unleaded Regular,,Royal Transportation,Miami,,
#217,41DAYS,FL,Hyundai,Elantra,2023,5NPLM4AG6PH093222,Unleaded Regular,,Royal Transportation,Miami,,YRX041
#218,96DHBT,FL,Hyundai,Elantra,2023,5NPLS4AG1PH093201,Unleaded Regular,,Royal Transportation,Miami,,
#219,04DHCW,FL,Ford,Transit Cargo,2018,NM0GE9F71J1353736,Unleaded Regular,,Royal Transportation,Miami,,
#221,06DHCW,FL,BUICK,ENCORE,2019,KL4CJASB9KB792522,Unleaded Regular,,Royal Transportation,Miami,,
#222,AZ65LN,FL,Hyundai,Sonata,2019,5NPE24AF8KH819581,Unleaded Regular,,Royal Transportation,Miami,,YRX047
#223,27DHCW,FL,KIA,FORTE,2020,5NPD74LF8LH585146,Unleaded Regular,,Royal Transportation,Miami,,YRX139
#224,59DHCW,FL,KIA,FORTE,2020,3KPF24AD8LE164590,Unleaded Regular,,Royal Transportation,Miami,,
#226,79DHCW,FL,Hyundai,Elantra,2020,5NPD84LF1LH592811,Unleaded Regular,,Royal Transportation,Miami,,YRX083
#227,80DHCW,FL,HYUNDAI,ACCENT,2022,3KPC24A65NE159306,Unleaded Regular,,Royal Transportation,Miami,,YRX039
#228,97DHCW,FL,Toyota,Corolla,2021,JTDEPMAE6MJ171130,Unleaded Regular,,Royal Transportation,Miami,,YRX049
#229,08DVAF,FL,HYUNDAI,SONATA,,5NPE34AF4JH682912,Unleaded Regular,,Royal Transportation,Miami,,YRX044
#230,96DXLV,FL,TOYOTA,CAMRY,,4T1G11AK5RU232810,Unleaded Regular,,Royal Transportation,Miami,Royal Hybrid Policy,YRX023
#231,97DXLV,FL,TOYOTA,CAMRY,2024,4T1G11AK2RU896580,Unleaded Regular,,Royal Transportation,Miami,Royal Hybrid Policy,YRX008
#232,KY965R,FL,Toyota,Camry,2024,4T1DAACK3SU522095,,,Royal Transportation,Miami,Royal Hybrid Policy,YRX046
#233,KY964R,FL,Toyota,Camry,2025,4T1DAACK7SU028712,Unleaded Regular,,Royal Transportation,Miami,Royal Hybrid Policy,YRX014
#234,RUII68,FL,Toyota,Camry,2025,4T1DAACK8SU027908,,,Royal Transportation,Miami,Royal Hybrid Policy,YRX017
#235,RUII67,FL,Toyota,Camry,2025,4T1DAACK9SU521095,,,Royal Transportation,Miami,Royal Hybrid Policy,YRX032
#236,RXCD21,,TOYOTA,SIENNA,2024,5TDKRKEC3RS212155,,,Royal Transportation,Miami,Royal Hybrid Policy,
#237,RXCD22,,TOYOTA,SIENNA,2024,5TDKRKEC5RS212366,,,Royal Transportation,Miami,Royal Hybrid Policy,YRX082
#238,RUII72,FL,Toyota,Camry,2025,4T1DAACK8SU028766,,,Royal Transportation,Miami,Royal Hybrid Policy,YRX071
#239,RUII74,FL,TOYOTA,CAMRY,2025,4T1DAACK7SU027849,,,Royal Transportation,Miami,Royal Hybrid Policy,YRX022
#240,RUII73,FL,Toyota,Camry,2025,4T1DAACK9SU521291,,,Royal Transportation,Miami,Royal Hybrid Policy,
#241,KP822Y,FL,TOYOTA,SIENNA,2024,5TDKRKECGRS207090,,,Royal Transportation,Miami,Royal Hybrid Policy,
#242,RUII70,FL,Toyota,Sienna,2024,5TDKRKEC3RS206890,Unleaded Regular,,Royal Transportation,Miami,,YRX101
#243,RUII71,FL,Toyota,Sienna,2024,5TDKRKECXRS206725,Unleaded Regular,,Royal Transportation,Miami,,YRX102
#245,KP824Y,FL,Toyota,Camry,2025,4T1DAACK7SU043453,,,Royal Transportation,Miami,Royal Hybrid Policy,YRX103
#246,KP727Y,FL,Toyota,Camry,2025,4T1DAACK5SU042866,,,Royal Transportation,Miami,Royal Hybrid Policy,YRX105
#247,KP823Y,FL,Toyota,Camry,2025,4T1DAACK4SU038551,,,Royal Transportation,Miami,Royal Hybrid Policy,YRX104
#248,KP825Y,FL,Toyota,Camry,2024,4T1DAACK5SU536998,,,Royal Transportation,Miami,Royal Hybrid Policy,YRX110
#249,KP826Y,FL,TOYOTA,CAMRY,2025,4T1DAACK5SU536998,,,Royal Transportation,Miami,Royal Hybrid Policy,YRX109
#250,RXCD23,,TOYOTA,SIENNA,2024,5TDKRKEC3RS212351,,,Royal Transportation,Miami,Royal Hybrid Policy,YRX144
#251,RXCD24,,TOYOTA,SIENNA,2024,5TDKRKEC8RS212118,,,Royal Transportation,Miami,Royal Hybrid Policy,YRX029
#252,RXCD25,,TOYOTA,SIENNA,2024,5TDKRKEC7RS212370,,,Royal Transportation,Miami,Royal Hybrid Policy,YRX137
#253,RAGL57,FL,TOYOTA,SIENNA,2025,,Unleaded Regular,,Royal Transportation,Miami,Royal Hybrid Policy,YRX011
#254,RAGL58,FL,Toyota,Sienna,2025,5TDKRKECXSS225510,,,Royal Transportation,Miami,Royal Hybrid Policy,YRX077
#255,RAGL59,FL,Toyota,Sienna,2025,,Unleaded Regular,,Royal Transportation,Miami,Royal Hybrid Policy,YRX132
#256,53ERQN,FL,FORD,TRANSIT,2024,1FBAX2C85RKB64878,,,Royal Transportation,Miami,,YRX019
#257,54ERQN,,FORD,TRANSIT,2024,1FBAX2C80RKB64836,,,,,,YRX133
#258,74EXGS,FL,Toyota,Sienna,2025,5TDKRKEC9SS225935,Unleaded Regular,,Royal Transportation,Miami,Royal Hybrid Policy,YRX030
#259,76EXGS,FL,TOYOTA,SIENNA,2025,5TDKRKEC4SS226149,Unleaded Regular,,Royal Transportation,Miami,Royal Hybrid Policy,YRX145
#260,75EXGS,FL,TOYOTA,SIENNA,2025,5TDKRKEC3SS225963,Unleaded Regular,,Royal Transportation,Miami,Royal Hybrid Policy,YRX148
#261,DP19IF,FL,TOYOTA,SIENNA,2024,5TDKRKEC3RS218277,Unleaded Regular,,Royal Transportation,Miami,Royal Hybrid Policy,YRX038
#262,DJ51PU,FL,TOYOTA,SIENNA,2025,5TDKRKEC5SS226421,Unleaded Regular,,Royal Transportation,Miami,Royal Hybrid Policy,YRX048
#263,DP18IF,FL,TOYOTA,SIENNA,2025,5TDKRKEC9SS225756,Unleaded Regular,,Royal Transportation,Miami,Royal Hybrid Policy,
#310,LBAM33,FL,FORD,TRANSIT,2018,1FTYR2CM0JKA86693,Unleaded Super,,Royal Transportation,Miami,,YRX149
#312,NMBD41,FL,RAM,,2019,3C6TRVPG6KE507392,Unleaded Regular,,Royal Transportation,Miami,,YRX085
#313,PIQU43,FL,Ford,T250,2020,1FTYE1C8XLKA16808,Unleaded Regular,,Royal Transportation,Miami,,
#314,PIQU45,FL,FORD,T250,2020,1FTYE1C80LKA16803,Unleaded Regular,,Royal Transportation,Miami,,
#315,PIQU44,FL,Ford,T250,2020,1FTYE1C89LKA16797,Unleaded Regular,,Royal Transportation,Miami,,
#316,QFXS71,FL,RAM,Promaster,2020,3C6TRVPG3LE122051,Unleaded Regular,,Royal Transportation,Miami,,
#317,QSQB07,,,,,3C6TRVPG0LE121052,Unleaded Regular,,Royal Transportation,Miami,,
#400,02DVVP,FL,FORD,TRANSIT,2016,1FBZX2ZM8GKA39393,Unleaded Regular,,Royal Transportation,Miami,,
244,KP820Y,FL,Toyota,Sienna,2024,5TDKRKEC3RS212303,Unleaded Regular,,Royal Transportation,Miami,Royal Hybrid Policy,YRX107
DEFECT,73DHCW,FL,TOYOTA,COROLLA,2020,4T1G11AK2RU896580,Unleaded Regular,,Royal Transportation,Miami,,YRX028
